Gender;Weight;Size;Eyes;Hair;Shoesize;Mathgrade;Germangrade;Englishgrade;Smoker;EduMother;SizeMother;SmokeMother;EduFather;SizeFather;SmokeFather;ZodiacSign
male;63;178;green;brown;43;;2;2;no;Degree;162;yes;Secondary;184;yes;Cancer
male;72;186;brown;brown;42;2;2;1;yes;Upper Secondary;165;no;Secondary;178;no;Aquarius
female;65;158;brown;blonde;36;1;1;1;no;Upper Secondary;150;no;Degree;170;no;Leo
male;85;176;brown;black;43;3;2;2;yes;Secondary;161;no;Secondary;175;no;Gemini
male;75;182;brown;brown;43;4;4;4;yes;Secondary;170;no;Secondary;180;no;Gemini
male;85;191;brown;brown;44;4;3;4;yes;Secondary;172;no;Secondary;175;no;Aquarius
female;61;163;brown;darkbrown;38;;3;3;no;Degree;159;no;Secondary;183;no;Taurus
male;62;180;brown;brown;42;4;2;2;no;Upper Secondary;170;no;Degree;178;no;Cancer
male;65;177;brown;brown;41;3;3;4;yes;Secondary;160;no;Degree;166;no;Virgo
male;76;178;graygreen;brown;43;1;3;3;no;Secondary;;no;Upper Secondary;;no;Sagittarius
male;78;178;green;brown;43;1;2;2;no;Secondary;172;no;Degree;186;no;Pisces
male;65;178;brown;brown;45;3;2;3;;Secondary;160;;Secondary;;;Aries
male;77;183;blue;brown;44;3;4;3;yes;Secondary;160;no;Upper Secondary;193;no;Cancer
male;90;189;black;black;44;3;4;2;no;Degree;170;no;Degree;190;no;Pisces
male;75;188;brown;redblonde;49;2;1;2;no;Upper Secondary;169;no;Degree;180;no;Aries
male;60;175;brown;black;42;1;4;2;no;Upper Secondary;165;no;Degree;170;no;Aries
male;83;183;black;black;44;2;2;3;yes;Upper Secondary;169;no;Upper Secondary;179;no;Aquarius
male;68;172;brown;black;41;3;;4;no;Degree;160;no;Degree;170;no;Taurus
male;75;175;blue;blonde;45;3;3;1;yes;Secondary;170;no;Secondary;175;yes;Libra
female;60;169;brown;brown;39;1;;1;no;Upper Secondary;160;no;Degree;182;yes;Scorpio
female;65;174;blue;red;39;1;4;2;no;Secondary;167;no;Secondary;175;no;Scorpio
male;78;183;brown;brown;42;3;;4;no;Upper Secondary;172;yes;Secondary;176;yes;Sagittarius
male;72;182;brown;darkbrown;43;4;4;2;no;Upper Secondary;170;no;Upper Secondary;180;yes;Sagittarius
male;81;180;brown;gray;44;1;1;1;no;Upper Secondary;160;no;Upper Secondary;165;no;Libra
male;89;185;brown;brown;45;3;1;2;no;Degree;179;no;Secondary;172;yes;Sagittarius
male;60;182;blue;darkblonde;42;1;4;2;yes;Upper Secondary;180;no;Upper Secondary;174;no;Libra
male;84;180;brown;brown;42;2;2;2;yes;Secondary;167;yes;Secondary;178;no;Taurus
female;49;164;green;lightbrown;37;3;3;4;no;Degree;168;no;Upper Secondary;167;yes;Leo
male;75;180;brown;brown;43;;3;2;yes;Upper Secondary;168;no;Upper Secondary;186;no;Gemini
male;65;173;blue;brown;42;3;4;4;yes;Upper Secondary;169;yes;Degree;180;no;Leo
male;75;175;brown;black;42;3;4;3;yes;Upper Secondary;165;yes;Upper Secondary;195;no;
male;90;183;bluegreen;brown;42;4;1;3;no;Secondary;165;no;Secondary;185;no;Virgo
male;79;183;blue;red;43;;2;;yes;;168;no;;165;no;Pisces
male;69;175;blue;brown;43;2;2;1;no;Secondary;170;no;Secondary;168;no;Libra
male;95;187;green;brown;45;1;1;1;no;Upper Secondary;165;no;Upper Secondary;180;no;Aquarius
female;83;175;blue;darkblonde;39;4;4;4;no;Secondary;172;no;Secondary;182;no;Aries
male;75;178;blue;darkbrown;43;3;4;4;yes;Secondary;165;yes;;185;yes;Libra
female;49;162;brown;black;37;1;1;2;no;Secondary;158;no;Upper Secondary;171;yes;Leo
male;63;178;bluegray;brown;42;3;1;2;no;Degree;170;no;Degree;173;no;Pisces
